"Time (s)","Sound pressure level (dB)"
3.523445627E2,-4.910354662E1
3.524508465E2,-4.848377221E1
3.525556622E2,-4.178582273E1
3.526596323E2,-4.466319608E1
3.527661075E2,-5.005004540E1
3.528716101E2,-5.274525971E1
3.529728469E2,-5.469483620E1
3.530785800E2,-5.530280423E1
3.531848846E2,-4.166281336E1
3.532882030E2,-3.851397528E1
3.533890994E2,-3.998596022E1
3.534930410E2,-4.884143380E1
3.535967115E2,-5.384889788E1
3.536976626E2,-5.393906617E1
3.538005907E2,-5.275109465E1
3.539049019E2,-5.516045999E1
3.540106645E2,-5.306139008E1
3.541141979E2,-5.221745744E1
3.542188145E2,-5.431076909E1
3.543217117E2,-5.246029490E1
3.544280210E2,-5.267123599E1
3.545320254E2,-4.693369482E1
3.546383641E2,-4.345623380E1
3.547411533E2,-4.655080862E1
3.548474503E2,-5.407169747E1
3.549505847E2,-4.476636043E1
3.550550994E2,-4.252354499E1
3.551613536E2,-4.603405196E1
3.552676676E2,-4.467999868E1
3.553717940E2,-4.438757833E1
3.554780898E2,-4.840397774E1
3.555827944E2,-4.642154066E1
3.556884936E2,-4.347283351E1
3.557946220E2,-4.372652208E1
3.558976528E2,-4.513609986E1
3.560021915E2,-5.029511466E1
3.561051945E2,-5.409001578E1
3.562115657E2,-4.897263734E1
3.563178040E2,-4.779178756E1
3.564219255E2,-5.208281389E1
3.565233775E2,-5.309712916E1
3.566267360E2,-5.391734034E1
3.567331228E2,-5.217470000E1
3.568385903E2,-5.418974348E1
3.569448257E2,-5.247665385E1
3.570511547E2,-5.413982702E1
3.571552145E2,-5.285896170E1
3.572611916E2,-4.694323817E1
3.573674855E2,-5.368101972E1
3.574720114E2,-4.950043942E1
3.575781642E2,-4.777365829E1
3.576845710E2,-4.138621777E1
3.577889108E2,-3.903014640E1
3.578920564E2,-4.050520571E1
3.579976679E2,-3.595740873E1
3.581039100E2,-5.127829981E1
3.582053517E2,-5.314573260E1
3.583116778E2,-5.276980217E1
3.584179047E2,-5.397640059E1
3.585220615E2,-5.088938095E1
3.586283977E2,-4.692216798E1
3.587347733E2,-4.233435194E1
3.588386533E2,-4.521520202E1
3.589394953E2,-5.424180254E1
3.590445109E2,-5.361166505E1
3.591490700E2,-5.421369437E1
3.592543680E2,-5.494597281E1
3.593562078E2,-5.493769756E1
3.594625624E2,-5.278985984E1
3.595658604E2,-5.296956663E1
3.596722050E2,-4.999462073E1
3.597785906E2,-5.289466900E1
3.598845385E2,-5.409247789E1
3.599888344E2,-5.208728310E1
3.600951481E2,-5.489386495E1
3.601975972E2,-5.268939773E1
3.603034200E2,-5.539916047E1
3.604055025E2,-4.931017124E1
3.605074559E2,-4.418138397E1
3.606122616E2,-5.032151145E1
3.607186568E2,-5.250542499E1
3.608222086E2,-5.322763518E1
3.609239334E2,-5.095033408E1
3.610296819E2,-4.510742064E1
3.611359629E2,-4.753307324E1
3.612389099E2,-4.574946725E1
3.613396998E2,-4.920207232E1
3.614459506E2,-4.702492322E1
3.615505029E2,-4.993199546E1
3.616556885E2,-4.726587902E1
3.617620309E2,-4.391210632E1
3.618683166E2,-5.071213490E1
3.619723402E2,-4.694482042E1
3.620786147E2,-5.019984254E1
3.621803415E2,-4.945608838E1
