"Time (s)","Sound pressure level (dB)"
7.238076217E1,-4.738278340E1
7.248565150E1,-5.438908186E1
7.259054212E1,-5.480704580E1
7.269285146E1,-5.430747986E1
7.279912638E1,-5.424332301E1
7.290203904E1,-4.981968934E1
7.300839550E1,-4.219205287E1
7.311300058E1,-3.355438923E1
7.321582137E1,-3.425666638E1
7.332220771E1,-3.854357982E1
7.342860408E1,-5.049624759E1
7.353252387E1,-4.445523553E1
7.363891108E1,-4.236425027E1
7.374518350E1,-3.885767989E1
7.384927542E1,-3.541142059E1
7.395103171E1,-4.383241980E1
7.405304233E1,-3.709153083E1
7.415934567E1,-4.102432065E1
7.426549871E1,-3.591554952E1
7.437213612E1,-4.147976264E1
7.447849483E1,-4.336812940E1
7.458262525E1,-4.039967303E1
7.468904900E1,-4.405282597E1
7.479322467E1,-5.184270732E1
7.489933142E1,-5.386274641E1
7.500596696E1,-5.415226223E1
7.511053454E1,-5.538337274E1
7.521596792E1,-5.351777238E1
7.531818454E1,-4.509282536E1
7.542466725E1,-4.924299625E1
7.553111683E1,-5.151538656E1
7.563265229E1,-4.837184661E1
7.573899112E1,-4.736709935E1
7.584530196E1,-5.066732464E1
7.594933642E1,-4.707739317E1
7.605588217E1,-4.656037238E1
7.616217979E1,-5.261068232E1
7.626610479E1,-5.309588722E1
7.637261767E1,-4.783627401E1
7.647905950E1,-5.229742257E1
7.658278837E1,-4.808000815E1
7.668915508E1,-5.208456239E1
7.679559687E1,-5.093685388E1
7.689941442E1,-5.492311443E1
7.700588012E1,-4.927803020E1
7.710943358E1,-3.732121346E1
7.721573700E1,-4.356482107E1
7.732260462E1,-3.918825316E1
7.742900412E1,-4.430016473E1
7.753278504E1,-5.100188823E1
7.763541421E1,-5.362039102E1
7.774173171E1,-5.369125011E1
7.784463800E1,-5.489547359E1
7.794949017E1,-5.328397694E1
7.805581117E1,-5.463263154E1
7.816215746E1,-5.450450333E1
7.826621092E1,-5.443633482E1
7.836761371E1,-5.441312178E1
7.847102496E1,-5.524065940E1
7.857583983E1,-5.500290633E1
7.868062908E1,-5.554969239E1
7.878290654E1,-5.305385829E1
7.888919096E1,-5.435238577E1
7.899116467E1,-5.491641111E1
7.909752967E1,-5.513699036E1
7.919963321E1,-5.480773336E1
7.930384137E1,-5.417159153E1
7.941022112E1,-4.939729806E1
7.951631867E1,-5.331504491E1
7.962263467E1,-5.484439600E1
7.972884054E1,-5.241073769E1
7.983289775E1,-5.490323165E1
7.993383717E1,-5.591954188E1
8.003604800E1,-5.535029555E1
8.013998250E1,-5.459813787E1
8.024545833E1,-5.409066693E1
8.035026400E1,-5.388353847E1
8.045653154E1,-5.352861655E1
8.055868437E1,-5.310509638E1
8.066373712E1,-5.433582518E1
8.076840267E1,-5.100264270E1
8.086996883E1,-4.204225994E1
8.097748742E1,-4.320939201E1
8.108392775E1,-4.499097163E1
8.118642413E1,-4.695634436E1
8.129281608E1,-4.933487963E1
8.139929629E1,-4.769192065E1
8.150386983E1,-4.340085877E1
8.161042546E1,-4.566874541E1
8.171650404E1,-4.933692122E1
8.182285942E1,-4.343322415E1
8.192443054E1,-4.863183652E1
8.202726654E1,-4.948176483E1
8.213317471E1,-5.444931244E1
8.223394421E1,-4.564020545E1
8.234029233E1,-5.241809970E1
8.244668712E1,-5.125921164E1
8.254990562E1,-4.592157931E1
8.265619567E1,-5.070427892E1
8.276256192E1,-4.593106810E1
8.286652867E1,-4.633545577E1
8.297126050E1,-4.583988400E1
8.307731904E1,-4.448540308E1
8.318322537E1,-4.898493905E1
8.328951008E1,-4.291147706E1
8.339177475E1,-4.393769370E1
8.349459671E1,-5.284394281E1
8.359994367E1,-5.477026104E1
8.370623692E1,-4.740022339E1
8.381085475E1,-4.732693254E1
8.391664029E1,-4.508245681E1
8.401886662E1,-4.610606110E1
8.412219458E1,-4.993780537E1
8.422511300E1,-5.494533015E1
8.433078675E1,-5.531055497E1
8.443336600E1,-5.575122357E1
8.453619912E1,-5.469276877E1
8.464190400E1,-5.333032685E1
8.474816775E1,-5.563962101E1
8.485185350E1,-5.314611735E1
8.495722117E1,-5.529806579E1
8.506035562E1,-5.404435102E1
8.516623508E1,-5.460261128E1
8.527265508E1,-4.697068919E1
8.537899742E1,-3.852807101E1
8.548340121E1,-3.738027172E1
8.558681554E1,-4.741631863E1
8.569252704E1,-4.476561152E1
8.579881704E1,-4.625278343E1
8.590017437E1,-3.514380482E1
8.600649700E1,-3.047333228E1
8.610792875E1,-4.425958798E1
8.621299100E1,-4.525981471E1
8.631687537E1,-5.072270460E1
8.642319975E1,-5.456863915E1
8.652956612E1,-3.844476564E1
8.663350021E1,-2.997907875E1
8.673618217E1,-3.709619027E1
8.684261529E1,-3.941967421E1
8.694889862E1,-3.659076282E1
8.705020312E1,-3.889540833E1
8.715655325E1,-4.053422622E1
8.726284929E1,-4.176056311E1
8.736693900E1,-4.053453074E1
8.746990096E1,-3.794215806E1
8.757622917E1,-3.395457509E1
